"STATION","NAME","DATE","AWND","SNOW","TMAX","TMIN"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-01","12.97","0.0","33","28"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-02","11.41","0.0","48","27"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-03","5.82","0.0","47","40"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-04","7.61","1.9","40","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-05","11.41","1.3","34","30"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-06","15.66","0.6","37","30"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-07","5.82","0.0","36","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-08","13.65","3.5","35","19"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-09","8.05","1.3","34","12"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-10","10.51","0.0","48","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-11","11.18","0.0","64","37"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-12","14.32","0.0","46","26"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-13","5.37","0.0","40","26"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-14","10.07","0.0","50","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-15","8.05","0.0","41","35"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-16","14.54","1.7","37","18"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-17","6.93","1.5","18","10"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-18","12.75","5.0","39","12"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-19","14.76","2.3","36","18"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-20","7.61","0.6","21","5"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-21","8.72","0.0","28","8"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-22","6.71","0.0","34","18"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-23","4.92","0.0","40","20"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-24","6.26","0.0","47","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-25","9.17","0.0","45","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-26","12.08","0.0","36","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-27","10.29","0.5","36","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-28","8.28","0.9","32","30"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-29","6.26","0.1","30","18"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-30","4.47","0.0","29","15"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-01-31","2.24","0.6","32","24"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-01","2.46","0.4","33","28"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-02","5.14","0.7","34","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-03","10.29","0.0","46","31"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-04","6.93","0.0","37","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-05","9.17","0.4","32","24"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-06","10.96","2.6","32","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-07","13.42","5.1","28","20"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-08","6.71","1.8","20","10"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-09","5.82","1.3","36","11"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-10","7.16","0.0","38","30"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-11","8.95","0.0","36","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-12","8.72","0.1","39","24"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-13","7.38","2.5","33","16"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-14","8.05","0.5","16","3"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-15","9.40","0.0","34","2"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-16","13.20","0.0","37","28"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-17","8.05","0.0","30","25"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-18","15.21","1.5","44","25"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-19","11.86","0.5","35","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-20","8.72","1.5","23","16"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-21","13.65","0.0","31","12"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-22","14.99","0.0","40","26"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-23","9.62","0.0","49","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-24","7.16","0.0","53","37"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-25","8.28","0.0","38","35"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-26","8.28","0.1","37","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-27","23.26","1.2","36","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-28","23.71","0.2","27","22"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-02-29","10.07","1.2","23","13"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-01","7.61","0.0","40","17"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-02","14.32","0.0","53","39"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-03","8.05","0.0","53","38"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-04","15.66","0.3","45","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-05","8.50","0.0","45","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-06","13.20","3.3","41","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-07","9.40","0.0","36","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-08","11.63","0.0","58","27"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-09","13.42","0.0","66","47"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-10","14.32","0.0","59","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-11","6.26","0.0","40","25"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-12","5.37","0.0","52","31"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-13","19.01","0.0","52","34"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-14","10.29","0.0","39","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-15","8.28","0.0","34","24"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-16","7.16","0.0","50","21"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-17","12.75","0.0","46","36"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-18","5.82","0.0","47","26"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-19","5.82","0.0","54","38"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-20","18.12","0.0","70","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-21","8.28","0.0","30","21"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-22","8.50","0.0","36","19"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-23","8.28","0.4","38","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-24","5.14","0.1","43","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-25","8.28","0.0","52","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-26","11.41","0.0","64","40"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-27","5.82","0.0","50","36"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-28","9.17","0.0","48","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-29","15.21","0.0","69","45"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-30","14.32","0.0","51","40"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-03-31","8.50","0.0","46","37"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-01","9.40","0.0","48","31"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-02","10.51","0.0","54","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-03","9.17","0.0","45","37"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-04","2.68","0.0","51","37"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-05","6.49","0.0","51","35"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-06","6.04","0.0","56","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-07","5.37","0.0","59","37"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-08","6.04","0.0","57","41"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2020-04-09","13.42","0.0","49","34"
