"STATION","NAME","DATE","AWND","SNOW","TMAX","TMIN"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-01","17.22","0.0","55","25"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-02","4.47","0.4","32","24"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-03","11.63","0.0","37","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-04","10.07","0.0","51","32"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-05","6.71","0.0","40","26"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-06","13.87","0.0","41","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-07","12.97","0.2","37","20"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-08","8.95","0.0","46","36"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-09","16.11","2.6","42","25"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-10","17.00","4.7","26","15"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-11","7.83","0.0","19","10"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-12","4.70","0.0","24","15"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-13","8.50","0.0","21","14"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-14","2.91","0.0","27","17"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-15","10.74","0.0","32","16"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-16","15.88","0.2","36","14"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-17","6.04","0.0","28","7"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-18","8.50","1.2","34","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-19","13.20","7.8","26","16"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-20","15.21","8.2","20","-1"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-21","12.97","1.7","11","-2"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-22","8.28","0.5","29","5"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-23","12.30","0.1","46","29"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-24","10.07","0.5","45","28"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-25","16.55","1.5","29","13"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-26","7.16","0.0","21","10"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-27","15.66","0.8","29","14"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-28","9.40","0.3","31","8"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-29","12.97","0.0","35","14"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-30","16.78","2.0","15","-1"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-01-31","17.22","0.1","10","-1"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-01","7.83","0.0","17","0"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-02","10.51","0.0","39","4"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-03","9.84","0.0","55","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-04","10.51","0.0","63","45"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-05","10.96","0.0","55","28"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-06","7.38","0.0","35","26"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-07","7.16","0.0","56","28"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-08","28.19","0.0","60","18"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-09","15.66","0.2","26","16"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-10","7.38","0.0","29","17"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-11","11.41","0.1","30","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-12","12.97","3.4","37","23"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-13","20.36","2.8","37","25"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-14","10.51","0.1","42","24"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-15","17.00","0.0","45","27"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-16","10.51","0.3","27","17"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-17","9.17","1.0","27","20"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-18","10.74","2.5","25","11"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-19","6.71","0.0","26","4"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-20","7.83","0.2","37","8"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-21","17.45","0.0","42","33"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-22","4.25","0.0","36","26"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-23","7.61","0.0","40","22"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-24","23.94","0.4","54","31"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-25","25.95","0.7","31","21"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-26","10.07","0.4","24","17"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-27","9.62","6.5","18","13"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-02-28","4.92","0.6","23","12"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-01","4.25","0.0","39","10"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-02","5.14","1.7","37","24"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-03","4.25","0.9","30","25"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-04","12.30","0.9","25","11"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-05","12.08","0.0","19","9"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-06","14.09","0.8","18","8"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-07","10.96","0.3","25","8"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-08","5.82","0.0","34","6"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-09","7.61","0.0","38","7"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-10","21.25","0.0","43","37"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-03-11","19.01","0.1","38","31"
